aircraft_id,age_y,total_parking_minutes,metar_temperature_c,metar_relative_humidity,metar_dew_point_c,metar_wind_speed_kn,metar_visibility_mi,metar_hour_precipitation,sea_salt_aerosol_003_05_mixing_ratio,sea_salt_aerosol_05_5_mixing_ratio,sea_salt_aerosol_5_20_mixing_ratio,dust_aerosol_003_055_mixing_ratio,dust_aerosol_055_09_mixing_ratio,dust_aerosol_09_20_mixing_ratio,hydrophilic_organic_matter_aerosol_mixing_ratio,hydrophobic_organic_matter_aerosol_mixing_ratio,hydrophilic_black_carbon_aerosol_mixing_ratio,hydrophobic_black_carbon_aerosol_mixing_ratio,sulphate_aerosol_mixing_ratio,ethane,c3h8,isoprene,carbon_monoxide_mass_mixing_ratio,ozone_mass_mixing_ratio,h2o2,formaldehyde,hno3,nitrogen_monoxide_mass_mixing_ratio,nitrogen_dioxide_mass_mixing_ratio,oh,organic_nitrates,specific_humidity,sulphur_dioxide_mass_mixing_ratio,temperature
002eab,5.4999999999999245,28008.524305555555,21.39688450602616,66.94242236286995,17.251860811984223,5.505750241787309,6.593519663321999,0.0012151390995329735,5.1459865936345404e-11,4.146094872257887e-09,1.0948528819268933e-09,8.480232122892112e-10,1.3711134544048764e-09,3.9600884485775434e-10,1.3138853776708544e-08,9.03598010093789e-09,3.0265188596100376e-10,3.934663110794232e-10,3.891596165534179e-09,9.17944231684088e-10,6.084722136422294e-10,2.5401075929147813e-08,2.2504578988911772e-07,4.625432985037787e-08,8.934265309339658e-10,3.861355633328544e-09,6.634945931648149e-10,2.2609888921248817e-09,1.0204768554485624e-08,3.358672377666954e-14,2.194090792341777e-09,0.014095191130264938,8.965124166810246e-09,296.3115166752299
009e95,6.3333333333332575,33918.340000000004,16.82997154395762,72.97819985542172,11.480720584714797,7.369079085730196,6.016869718323107,0.0,1.011148231791704e-10,8.503464878074462e-09,4.153666477651622e-09,6.61932866411966e-10,1.2184200513624906e-09,1.3277510607233807e-09,4.784046150280969e-09,2.472165109742254e-09,1.651507457356006e-10,1.7486909367200574e-10,1.5918445321267222e-09,5.338157354736531e-10,4.495522286705177e-10,2.3602440031026223e-09,1.468192042626635e-07,5.8604550492026235e-08,5.227790602924898e-10,1.1805218398722435e-09,1.3515888612200856e-09,1.319810679797889e-09,7.943512053075304e-09,3.598393572500611e-14,1.207624604051677e-09,0.009077204026659331,2.6596915941650713e-09,289.7280593409134
01c05c,4.916666666666591,33262.24895833333,19.88820546391309,73.98673234134374,14.3142190124493,4.079048062162278,4.283558920371851,0.0,1.566295205713029e-11,1.2157941255367435e-09,1.8136703819578843e-10,2.140541340410753e-09,3.752431983330865e-09,3.6508255146755825e-09,5.863514876080336e-08,3.978507499614823e-08,8.206820632182545e-10,1.2780240020775796e-09,4.701481390075023e-09,6.6717195437002934e-09,2.590380583947044e-09,1.920621297957011e-08,9.118258853459606e-07,5.6920761134493834e-08,1.079826281114284e-09,4.6433305030523495e-09,1.3914081263945524e-09,1.2616287467330067e-09,9.839521568944217e-09,2.6423119166754113e-14,3.752162778418638e-09,0.010587206215097036,6.16278916562014e-09,289.1239827720871
02884d,2.75,29629.682386363635,18.279173601186148,74.51612361167342,13.232958481268104,7.882047929487905,6.096870407379151,0.0,1.31909319535772e-10,1.1093847571436005e-08,6.079490131258053e-09,1.244286358589553e-09,2.344975543139084e-09,2.8303995050192152e-09,2.9653333459288776e-09,9.370383029375071e-10,1.1964003480115663e-10,6.527295126677401e-11,1.8451943970543311e-09,4.801899061918768e-10,3.1990872906607335e-10,3.051044468996354e-10,1.2445670007765297e-07,7.147421642952898e-08,8.159302477505858e-10,7.646972704528992e-10,1.7223027221754356e-09,5.235845907279284e-10,4.418344935193324e-09,4.1171390043043405e-14,9.84997738540857e-10,0.010445914239456901,2.264603664567337e-09,291.9697309839408
02d1d2,5.166666666666591,31482.29050632911,15.642075026206175,79.07571716807584,11.69360269577945,8.588581659018011,6.006791689681982,0.0,2.398290714544843e-10,2.019594826344046e-08,9.349193830496783e-09,4.817894395604864e-11,9.737968190177932e-11,1.4704216901175751e-10,1.8411533953537793e-09,1.02870856868988e-09,6.289241770319971e-11,8.044806881842674e-11,9.264477633456993e-10,3.051209599649952e-10,1.688989396008723e-10,3.912313677121066e-09,7.035898087538685e-08,4.290956361582838e-08,3.032847578320233e-10,8.14770637024876e-10,1.7999866996767801e-10,9.87557726230129e-10,3.752023464952103e-09,1.844605963983502e-14,5.004324836471316e-10,0.008678549764884783,1.5007750765100138e-09,288.9149692986815
02dba8,8.333333333333334,28844.409477124183,15.243345321592132,71.53887662103655,9.452788227061303,9.610663009991178,5.884455297723099,0.0,7.52494780770864e-11,6.3184424498654735e-09,2.8957872029843675e-09,9.542317822596947e-10,1.8333258542973956e-09,2.4355334571713242e-09,6.5818624054876e-09,3.575520664915902e-09,1.807157547112918e-10,1.678568838126775e-10,2.3901950477102226e-09,7.172917534667962e-10,8.846773286277689e-10,2.0890700025728528e-09,1.6536654685140173e-07,5.460565441375732e-08,5.673427091919251e-10,1.580782867050877e-09,1.0863888884397612e-09,1.9827586791863477e-09,1.0453173735145414e-08,3.137128645021345e-14,1.39518038033628e-09,0.007949047276331958,4.7672839765658055e-09,288.2916653071472
02f174,5.833333333333333,32613.48525073746,12.70879225999608,78.28317847509983,8.550519645196957,7.174124917634473,5.832421590446632,0.0,1.5166469430932174e-10,1.2867202552410819e-08,5.622070516401883e-09,3.0590094544417786e-10,5.752359047786438e-10,6.191545594233787e-10,4.716969414660469e-09,2.3943329612697577e-09,1.5492993669438376e-10,1.3035333977364878e-10,1.2476245161660619e-09,5.287116053599727e-10,5.308811703496798e-10,1.2357303597321972e-09,1.427287968013061e-07,4.9734627905684e-08,3.238206992027803e-10,9.9839234047976e-10,7.755057214300025e-10,1.7851911779016992e-09,1.0143733676432088e-08,2.4169797372044866e-14,9.517178300605339e-10,0.007393320647300124,2.1627738277744043e-09,285.5283782123549
03892b,5.7500000000000755,32901.48169398907,12.671223899104131,76.60409645599393,8.008806998563257,7.186095245089969,5.72123771715109,0.0,1.4876547273666163e-10,1.2589779778860021e-08,5.207520197858161e-09,4.588362996138289e-10,8.863231340659748e-10,1.0686811510539495e-09,5.249374492710272e-09,2.8102811073687212e-09,1.7279851692900816e-10,1.7216401169330916e-10,1.3253490575773012e-09,5.505718616957362e-10,7.15460877908413e-10,1.2901819664838644e-09,1.504330732856567e-07,4.7740229260918957e-08,3.299333693478864e-10,1.0621012081040738e-09,7.983343776102805e-10,2.3471575283782855e-09,1.132148989038363e-08,2.7508147336241248e-14,9.158316247848435e-10,0.007239560250233159,2.5596180408840586e-09,285.34660319821415
043537,5.833333333333409,25639.146638655464,7.377886234768549,28.680024081886742,5.051570715578969,7.088879869045935,9.307106492692451,0.007149962848848916,6.356790741670473e-11,5.195823809725087e-09,1.9995378064008435e-09,5.277093003231355e-10,9.297570735828006e-10,3.700434915117118e-10,6.667838567092482e-09,3.7751247277901095e-09,1.9176851833504784e-10,2.0921735659687197e-10,1.960195894562728e-09,6.18032315598608e-10,3.9077576489248624e-10,4.9326675729735785e-09,1.554743746484516e-07,5.348200236397713e-08,7.091368479652225e-10,1.9605507139874062e-09,1.1618157300097105e-09,1.3555520309001424e-09,1.0836915467315408e-08,3.960380276463172e-14,1.6003746951971943e-09,0.010734072293234235,5.121798916910083e-09,291.6060548790562
0439c1,5.666666666666591,36395.37558139535,17.474030899334327,70.61337321213722,11.35413401870268,8.849662663601864,5.681010755414425,2.1784588336019012e-05,7.959705382646311e-11,6.610100634957639e-09,3.2018501177578986e-09,8.919251774078377e-10,1.7911595090663012e-09,2.8646839522712763e-09,1.877749322315261e-08,1.1907392128476422e-08,6.341533390541911e-10,9.815557825976026e-10,5.736407733133591e-09,1.3563630800448743e-09,7.670014250585662e-10,2.718281058663375e-09,3.0245481111837126e-07,5.7017263955456104e-08,5.024120093457897e-10,2.307273941443859e-09,2.5509028319803865e-09,9.233993721857956e-09,1.813518936427729e-08,4.1925095024479216e-14,2.1425869396520317e-09,0.009840818213103841,1.505200523095093e-08,289.96136628137447
